,Üniversite,Tarih,İlan Sayısı
0,Anadolu Üniversitesi,2019-1,7716
1,Kocaeli Üniversitesi,2019-1,4090
2,İstanbul Üniversitesi (İÜ),2019-1,4017
3,Sakarya Üniversitesi,2019-1,3423
4,Yıldız Teknik Üniversitesi (YTÜ),2019-1,3048
5,Marmara Üniversitesi,2019-1,2525
6,Gazi Üniversitesi,2019-1,2629
7,Selçuk Üniversitesi,2019-1,2439
8,Uludağ Üniversitesi,2019-1,2310
9,İstanbul Teknik Üniversitesi (İTÜ),2019-1,2178
10,Dokuz Eylül Üniversitesi,2019-1,2038
11,Ege Üniversitesi,2019-1,2004
12,Süleyman Demirel Üniversitesi,2019-1,2193
13,Karabük Üniversitesi,2019-1,1638
14,Dumlupınar Üniversitesi,2019-1,1841
15,Trakya Üniversitesi,2019-1,1740
16,Karadeniz Teknik Üniversitesi (KTÜ),2019-1,1656
17,Manisa Celal Bayar Üniversitesi,2019-1,1390
18,Eskişehir Osmangazi Üniversitesi,2019-1,1525
19,Erciyes Üniversitesi,2019-1,1474
20,Atatürk Üniversitesi,2019-1,1411
21,Orta Doğu Teknik Üniversitesi (ODTÜ),2019-1,1432
22,Çukurova Üniversitesi,2019-1,1348
23,Balıkesir Üniversitesi,2019-1,1373
24,Hacettepe Üniversitesi,2019-1,1362
25,Beykent Üniversitesi,2019-1,1253
26,Ankara Üniversitesi,2019-1,1316
27,Fırat Üniversitesi,2019-1,1124
28,Afyon Kocatepe Üniversitesi,2019-1,1222
29,Pamukkale Üniversitesi,2019-1,1095
30,Akdeniz Üniversitesi,2019-1,1077
31,İstanbul Aydın Üniversitesi,2019-1,1109
32,Çanakkale 18 Mart Üniversitesi,2019-1,1065
33,Sivas Cumhuriyet Üniversitesi,2019-1,1139
34,Namık Kemal Üniversitesi,2019-1,917
35,Ondokuz Mayıs Üniversitesi,2019-1,998
36,Kırıkkale Üniversitesi,2019-1,1030
37,Gaziantep Üniversitesi,2019-1,896
38,Bülent Ecevit Üniversitesi,2019-1,815
39,Adnan Menderes Üniversitesi,2019-1,808
40,Yeditepe Üniversitesi,2019-1,822
41,Abant İzzet Baysal Üniversitesi,2019-1,794
42,Düzce Üniversitesi,2019-1,664
43,Mersin Üniversitesi,2019-1,730
44,İhsan Doğramacı Bilkent Üniversitesi,2019-1,714
45,Muğla Sıtkı Koçman Üniversitesi,2019-1,691
46,Kırklareli Üniversitesi,2019-1,597
47,Bahçeşehir Üniversitesi,2019-1,589
48,İstanbul Kültür Üniversitesi,2019-1,586
49,İstanbul Arel Üniversitesi,2019-1,625
50,Bilecik Şeyh Edebali Üniversitesi,2019-1,545
51,İstanbul Bilgi Üniversitesi,2019-1,485
52,Mehmet Akif Ersoy Üniversitesi,2019-1,461
53,Mustafa Kemal Üniversitesi,2019-1,505
54,Doğuş Üniversitesi,2019-1,510
55,Boğaziçi Üniversitesi,2019-1,465
56,İnönü Üniversitesi,2019-1,480
57,İstanbul Gelişim Üniversitesi,2019-1,412
58,Gaziosmanpaşa Üniversitesi,2019-1,442
59,Başkent Üniversitesi,2019-1,448
60,Çankaya Üniversitesi,2019-1,401
61,Okan Üniversitesi,2019-1,376
62,Kahramanmaraş Sütçü İmam Üniversitesi,2019-1,365
63,Uşak Üniversitesi,2019-1,338
64,Yalova Üniversitesi ,2019-1,358
65,Atılım Üniversitesi,2019-1,379
66,Doğu Akdeniz Üniversitesi,2019-1,427
67,Kadir Has Üniversitesi,2019-1,403
68,İstanbul Ticaret Üniversitesi,2019-1,394
69,Giresun Üniversitesi,2019-1,411
70,İzmir Ekonomi Üniversitesi,2019-1,303
71,Bartın Üniversitesi,2019-1,289
72,Haliç Üniversitesi,2019-1,349
73,Işık Üniversitesi,2019-1,358
74,Aksaray Üniversitesi,2019-1,313
75,Yaşar  Üniversitesi,2019-1,244
76,Maltepe Üniversitesi,2019-1,314
77,Ömer Halisdemir  Üniversitesi,2019-1,298
78,Nişantaşı Üniversitesi,2019-1,238
79,Mimar Sinan Güzel Sanatlar Üniversitesi,2019-1,318
80,Kastamonu Üniversitesi,2019-1,273
81,Necmettin Erbakan Üniversitesi,2019-1,205
82,Ankara Yıldırım Beyazıt Üniversitesi,2019-1,260
83,Hitit Üniversitesi,2019-1,295
84,Harran Üniversitesi,2019-1,277
85,TOBB Ekonomi ve Tek. Üniversitesi,2019-1,270
