,Firma Sektörü,Tarih,İlan Sayısı
0,Bilişim,2019-1,676
1,Üretim / Endüstriyel Ürünler,2019-1,152
2,Elektrik & Elektronik,2019-1,125
3,Tekstil,2019-1,98
4,Otomotiv,2019-1,135
5,Sağlık,2019-1,107
6,Hizmet,2019-1,117
7,Topluluklar,2019-1,117
8,Telekomünikasyon,2019-1,43
9,Yapı,2019-1,74
10,Danışmanlık,2019-1,106
11,Kimya,2019-1,70
12,Finans - Ekonomi,2019-1,67
13,Ticaret,2019-1,65
14,Diğer,2019-1,60
15,Gıda,2019-1,36
16,Eğitim,2019-1,39
17,Enerji,2019-1,40
18,Turizm,2019-1,44
19,Taşımacılık,2019-1,36
20,Sigortacılık,2019-1,29
21,Reklam ve Tanıtım,2019-1,22
22,Maden ve Metal Sanayi,2019-1,23
23,Perakende,2019-1,38
24,Medya,2019-1,19
25,Basım - Yayın,2019-1,10
26,Mobilya & Aksesuar,2019-1,18
27,Denizcilik,2019-1,15
28,Ev Eşyaları,2019-1,9
29,Güvenlik,2019-1,10
30,Havacılık,2019-1,6
31,Tarım / Ziraat,2019-1,8
32,Hızlı Tüketim Malları,2019-1,9
33,Orman Ürünleri,2019-1,6
34,Ofis / Büro Malzemeleri,2019-1,2
35,Dayanıklı Tüketim Ürünleri,2019-1,6
36,Hayvancılık,2019-1,1
37,Eğlence - Kültür - Sanat,2019-1,2
38,Atık Yönetimi ve Geri Dönüşüm,2019-1,1
39,Çevre,2019-1,0
40,Toplam,2019-1,2457
41,Bilişim,2019-2,577
42,Üretim / Endüstriyel Ürünler,2019-2,183
43,Elektrik & Elektronik,2019-2,101
44,Tekstil,2019-2,112
45,Otomotiv,2019-2,91
46,Sağlık,2019-2,83
47,Hizmet,2019-2,104
48,Topluluklar,2019-2,85
49,Telekomünikasyon,2019-2,36
50,Yapı,2019-2,91
51,Danışmanlık,2019-2,102
52,Kimya,2019-2,45
53,Finans - Ekonomi,2019-2,53
54,Ticaret,2019-2,52
55,Diğer,2019-2,42
56,Gıda,2019-2,38
57,Eğitim,2019-2,42
58,Enerji,2019-2,33
59,Turizm,2019-2,58
60,Taşımacılık,2019-2,46
61,Sigortacılık,2019-2,26
62,Reklam ve Tanıtım,2019-2,41
63,Maden ve Metal Sanayi,2019-2,18
64,Perakende,2019-2,23
65,Medya,2019-2,28
66,Basım - Yayın,2019-2,12
67,Mobilya & Aksesuar,2019-2,11
68,Denizcilik,2019-2,8
69,Ev Eşyaları,2019-2,11
70,Güvenlik,2019-2,15
71,Havacılık,2019-2,13
72,Tarım / Ziraat,2019-2,8
73,Hızlı Tüketim Malları,2019-2,12
74,Orman Ürünleri,2019-2,4
75,Ofis / Büro Malzemeleri,2019-2,4
76,Dayanıklı Tüketim Ürünleri,2019-2,3
77,Hayvancılık,2019-2,1
78,Eğlence - Kültür - Sanat,2019-2,3
79,Atık Yönetimi ve Geri Dönüşüm,2019-2,1
80,Çevre,2019-2,0
81,Toplam,2019-2,2228
82,Bilişim,2019-3,617
83,Üretim / Endüstriyel Ürünler,2019-3,140
84,Elektrik & Elektronik,2019-3,116
85,Tekstil,2019-3,105
86,Otomotiv,2019-3,140
87,Sağlık,2019-3,103
88,Hizmet,2019-3,97
89,Topluluklar,2019-3,92
90,Telekomünikasyon,2019-3,42
91,Yapı,2019-3,78
92,Danışmanlık,2019-3,116
93,Kimya,2019-3,53
94,Finans - Ekonomi,2019-3,62
95,Ticaret,2019-3,51
96,Diğer,2019-3,48
97,Gıda,2019-3,56
98,Eğitim,2019-3,47
99,Enerji,2019-3,47
100,Turizm,2019-3,57
101,Taşımacılık,2019-3,31
102,Sigortacılık,2019-3,31
103,Reklam ve Tanıtım,2019-3,30
104,Maden ve Metal Sanayi,2019-3,23
105,Perakende,2019-3,31
106,Medya,2019-3,18
107,Basım - Yayın,2019-3,16
108,Mobilya & Aksesuar,2019-3,12
109,Denizcilik,2019-3,11
110,Ev Eşyaları,2019-3,10
111,Güvenlik,2019-3,10
112,Havacılık,2019-3,22
113,Tarım / Ziraat,2019-3,9
114,Hızlı Tüketim Malları,2019-3,13
115,Orman Ürünleri,2019-3,10
116,Ofis / Büro Malzemeleri,2019-3,1
117,Dayanıklı Tüketim Ürünleri,2019-3,1
118,Hayvancılık,2019-3,0
119,Eğlence - Kültür - Sanat,2019-3,1
120,Atık Yönetimi ve Geri Dönüşüm,2019-3,2
121,Çevre,2019-3,0
122,Toplam,2019-3,2358
123,Bilişim,2019-4,667
124,Üretim / Endüstriyel Ürünler,2019-4,152
125,Elektrik & Elektronik,2019-4,164
126,Tekstil,2019-4,122
127,Otomotiv,2019-4,123
128,Sağlık,2019-4,76
129,Hizmet,2019-4,93
130,Topluluklar,2019-4,85
131,Telekomünikasyon,2019-4,65
132,Yapı,2019-4,76
133,Danışmanlık,2019-4,88
134,Kimya,2019-4,62
135,Finans - Ekonomi,2019-4,52
136,Ticaret,2019-4,48
137,Diğer,2019-4,60
138,Gıda,2019-4,45
139,Eğitim,2019-4,47
140,Enerji,2019-4,41
141,Turizm,2019-4,59
142,Taşımacılık,2019-4,50
143,Sigortacılık,2019-4,25
144,Reklam ve Tanıtım,2019-4,26
145,Maden ve Metal Sanayi,2019-4,18
146,Perakende,2019-4,30
147,Medya,2019-4,19
148,Basım - Yayın,2019-4,13
149,Mobilya & Aksesuar,2019-4,9
150,Denizcilik,2019-4,9
151,Ev Eşyaları,2019-4,3
152,Güvenlik,2019-4,11
153,Havacılık,2019-4,9
154,Tarım / Ziraat,2019-4,6
155,Hızlı Tüketim Malları,2019-4,10
156,Orman Ürünleri,2019-4,2
157,Ofis / Büro Malzemeleri,2019-4,2
158,Dayanıklı Tüketim Ürünleri,2019-4,1
159,Hayvancılık,2019-4,1
160,Eğlence - Kültür - Sanat,2019-4,3
161,Atık Yönetimi ve Geri Dönüşüm,2019-4,0
162,Çevre,2019-4,1
163,Toplam,2019-4,2385
164,Bilişim,2019-5,586
165,Üretim / Endüstriyel Ürünler,2019-5,168
166,Elektrik & Elektronik,2019-5,174
167,Tekstil,2019-5,125
168,Otomotiv,2019-5,117
169,Sağlık,2019-5,102
170,Hizmet,2019-5,84
171,Topluluklar,2019-5,119
172,Telekomünikasyon,2019-5,92
173,Yapı,2019-5,76
174,Danışmanlık,2019-5,112
175,Kimya,2019-5,73
176,Finans - Ekonomi,2019-5,96
177,Ticaret,2019-5,66
178,Diğer,2019-5,48
179,Gıda,2019-5,68
180,Eğitim,2019-5,39
181,Enerji,2019-5,41
182,Turizm,2019-5,60
183,Taşımacılık,2019-5,60
184,Sigortacılık,2019-5,37
185,Reklam ve Tanıtım,2019-5,32
186,Maden ve Metal Sanayi,2019-5,18
187,Perakende,2019-5,27
188,Medya,2019-5,17
189,Basım - Yayın,2019-5,20
190,Mobilya & Aksesuar,2019-5,10
191,Denizcilik,2019-5,12
192,Ev Eşyaları,2019-5,12
193,Güvenlik,2019-5,7
194,Havacılık,2019-5,16
195,Tarım / Ziraat,2019-5,6
196,Hızlı Tüketim Malları,2019-5,7
197,Orman Ürünleri,2019-5,7
198,Ofis / Büro Malzemeleri,2019-5,1
199,Dayanıklı Tüketim Ürünleri,2019-5,1
200,Hayvancılık,2019-5,3
201,Eğlence - Kültür - Sanat,2019-5,0
202,Atık Yönetimi ve Geri Dönüşüm,2019-5,1
203,Çevre,2019-5,1
204,Toplam,2019-5,2552
205,Bilişim,2019-6,508
206,Üretim / Endüstriyel Ürünler,2019-6,105
