,Pozisyon_Sınıfı,Başvuru/İlan_Oran,Toplam_İlan_Sayısı,Başvuru/İlan_Oran_2019,İlan_Sayısı_2019,Başvuru/İlan_Oran_2020,İlan_Sayısı_2020
0,Yazılım,147,15963,176,7540.0,122,8423.0
1,Proje Yönetimi,384,5763,426,2783.0,344,2980.0
2,3D / Grafik Tasarım,165,5117,212,2174.0,130,2943.0
3,Arge,384,4554,408,2311.0,358,2243.0
4,Sistem,263,3120,295,1546.0,232,1574.0
5,Bilgi İşlem,354,2420,392,1263.0,314,1157.0
6,Bilgi Teknolojileri,222,2429,245,1087.0,203,1342.0
7,İş Analizi,466,1721,548,806.0,393,915.0
8,Web,89,2385,105,1117.0,75,1268.0
9,Yazılım Destek / Test,224,1397,243,616.0,209,781.0
10,Ürün Yönetimi,296,2241,328,1135.0,264,1106.0
11,İş Geliştirme,321,1517,337,762.0,306,755.0
12,ERP Çözümler,200,881,211,384.0,191,497.0
13,SAP,187,1452,188,771.0,185,681.0
14,Analiz,306,1191,321,572.0,293,619.0
15,Ağ / Network,201,974,225,470.0,179,504.0
16,Mobil Uygulama,78,1380,90,635.0,67,745.0
17,Veri Girişi,696,499,841,242.0,559,257.0
18,Donanım,269,548,289,259.0,251,289.0
19,İş Zekası,238,672,262,352.0,213,320.0
20,Ürün Geliştirme,293,624,302,316.0,284,308.0
21,Bilgi Sistemleri,282,457,312,206.0,257,251.0
22,Veri Tabanı,124,824,134,421.0,114,403.0
23,Bilgi Güvenliği,165,675,169,335.0,161,340.0
24,Veri Yönetimi,252,381,230,196.0,276,185.0
25,Bilişim,227,170,323,72.0,156,98.0
26,SEO,135,210,108,102.0,161,108.0
27,Yönetim Bilişim Sistemleri,231,169,245,93.0,213,76.0
28,Proje Geliştirme,307,140,294,77.0,323,63.0
29,Proje ve Teklif,264,67,317,38.0,196,29.0
30,Laboratuvar,427,85,433,42.0,420,43.0
31,Bayi Yönetimi,616,61,510,34.0,749,27.0
32,İş Süreçleri Geliştirme,249,73,234,39.0,267,34.0
33,Teknoloji Danışmanlığı,2420,62,4371,26.0,1011,36.0
34,Proje Tasarım,217,60,232,26.0,205,34.0
35,Oyun,114,79,192,34.0,56,45.0
36,Ürün Tasarımı,198,96,197,53.0,200,43.0
37,Konfigürasyon,220,117,225,62.0,215,55.0
38,Ürün Planlama,436,66,527,33.0,346,33.0
39,Statik Proje Yönetimi,428,36,446,9.0,423,27.0
40,Ürün Takip / Destek,254,63,273,30.0,237,33.0
41,Animasyon,81,64,86,36.0,76,28.0
42,Teknik Proje Yönetimi,177,39,210,25.0,117,14.0
43,Kullanıcı Deneyimi,103,86,84,36.0,117,50.0
44,Dijital Proje Yönetimi,200,33,206,11.0,197,22.0
45,İnternet Hizmetleri,138,70,328,21.0,57,49.0
46,Teknik,240,63,370,27.0,142,36.0
47,Netsis,72,41,80,14.0,68,27.0
48,İş Çözümleri,181,58,160,30.0,203,28.0
49,Eğitim,78,44,88,25.0,64,19.0
50,Avrupa Birliği Projeleri,292,14,298,10.0,276,4.0
51,Teknoloji Transfer,141,38,156,19.0,125,19.0
52,Entegrasyon,154,30,163,15.0,145,15.0
53,Yurt Dışı / Yurt İçi Proje Yönetimi,189,18,153,14.0,314,4.0
54,Teknik Ürün Yönetimi,195,38,283,13.0,150,25.0
55,Bilimsel Programlar,217,13,173,7.0,270,6.0
56,İnovasyon,154,29,125,23.0,265,6.0
57,Lisanslama,136,9,134,5.0,137,4.0
58,Fizibilite,137,10,128,3.0,141,7.0
59,Validasyon,87,18,80,6.0,90,12.0
60,Proje Bakım,379,8,394,6.0,333,2.0
61,Ticari Proje Yönetimi,287,12,120,7.0,521,5.0
62,Multimedya,110,5,99,3.0,126,2.0
63,Ürün Destek,446,5,446,5.0,0,0.0
64,Uluslararası Proje Yönetimi,329,6,212,2.0,388,4.0
65,Portal,134,4,0,0.0,134,4.0
66,Diğer,133,3,101,1.0,150,2.0
67,Veri Madenciliği,141,3,35,2.0,353,1.0
68,Oracle,38,1,38,1.0,0,0.0
69,İnteraktif Projeler,261,1,0,0.0,261,1.0
