,Üniversite,Toplam,Sıralama
26,Hacettepe Üniversitesi,38716,1
23,Orta Doğu Teknik Üniversitesi,40328,2
10,İstanbul Teknik Üniversitesi,62810,3
3,İstanbul Üniversitesi,107713,4
109,Koç Üniversitesi,4803,5
28,Ankara Üniversitesi,36045,6
57,Boğaziçi Üniversitesi,14079,7
12,Ege Üniversitesi,61786,8
1200,Bilkent Üniversitesi,2,9
99,Gebze Teknik Üniversitesi,5797,10
7,Gazi Üniversitesi,70341,11
5,Yıldız Teknik Üniversitesi,86611,12
98,Sabancı Üniversitesi,5881,13
93,İzmir Yüksek Teknoloji Enstitüsü,6785,14
22,Atatürk Üniversitesi,40440,15
21,Erciyes Üniversitesi,41294,17
6,Marmara Üniversitesi,76895,18
11,Dokuz Eylül Üniversitesi,61790,19
8,Selçuk Üniversitesi,68492,20
24,Çukurova Üniversitesi,39684,21
29,Fırat Üniversitesi,34330,22
17,Karadeniz Teknik Üniversitesi,49067,23
20,Eskişehir Osmangazi Üniversitesi,43965,24
32,Akdeniz Üniversitesi,32611,25
188,Abdullah Gül Üniversitesi,840,26
37,Ondokuz Mayıs Üniversitesi,27948,28
58,İnönü Üniversitesi,13706,29
1,Anadolu Üniversitesi,194790,30
13,Süleyman Demirel Üniversitesi,61226,31
39,Gaziantep Üniversitesi,27154,32
4,Sakarya Üniversitesi,101715,34
62,Çankaya Üniversitesi,12246,35
2,Kocaeli Üniversitesi,121417,36
95,Yüzüncü Yıl Üniversitesi,6547,37
84,Ankara Yıldırım Beyazıt Üniversitesi,7931,39
61,Başkent Üniversitesi,12318,40
67,Atılım Üniversitesi,10854,41
91,Dicle Üniversitesi,7269,42
19,Manisa Celal Bayar Üniversitesi,45905,43
31,Pamukkale Üniversitesi,32942,44
87,TOBB,7711,45
45,Mersin Üniversitesi,21106,47
42,Yeditepe Üniversitesi,23597,48
103,Özyeğin Üniversitesi,5368,49
34,Çanakkale 18 Mart Üniversitesi,31329,50
44,Düzce Üniversitesi,21122,51
60,Gaziosmanpaşa Üniversitesi,12996,52
47,Muğla Sıtkı Koçman Üniversitesi,18813,53
43,Abant İzzet Baysal Üniversitesi,21896,54
35,Sivas Cumhuriyet Üniversitesi,30567,55
85,Hitit Üniversitesi,7903,56
107,Recep Tayyip Erdoğan Üniversitesi,4935,57
38,Kırıkkale Üniversitesi,27728,58
132,Bursa Teknik Üniversitesi,2626,59
83,Necmettin Erbakan Üniversitesi,8121,60
64,Kahramanmaraş Sütçü İmam Üniversitesi,11269,61
36,Namık Kemal Üniversitesi,28669,62
55,Mustafa Kemal Üniversitesi,14140,63
143,Niğde Ömer Halisdemir Üniversitesi,2076,64
40,Bülent Ecevit Üniversitesi,24655,66
25,Balıkesir Üniversitesi,39502,67
41,Adnan Menderes Üniversitesi,24647,68
86,Harran Üniversitesi,7715,69
122,Munzur Üniversitesi,3214,70
14,Karabük Üniversitesi,54958,72
16,Trakya Üniversitesi,49524,74
100,Çankırı Karatekin Üniversitesi,5504,76
76,Aksaray Üniversitesi,9428,77
